ID,PLACE_NAME,CATEGORY,INF,VAL_rcp85_5.0_2050_RL1,PCT_rcp85_5.0_2050_RL1,VAL_rcp85_5.0_2100_RL1,PCT_rcp85_5.0_2100_RL1,VAL_rcp85_5.0_2200_RL1,PCT_rcp85_5.0_2200_RL1,VAL_rcp85_50.0_2050_RL1,PCT_rcp85_50.0_2050_RL1,VAL_rcp85_50.0_2100_RL1,PCT_rcp85_50.0_2100_RL1,VAL_rcp85_50.0_2200_RL1,PCT_rcp85_50.0_2200_RL1,VAL_rcp85_95.0_2050_RL1,PCT_rcp85_95.0_2050_RL1,VAL_rcp85_95.0_2100_RL1,PCT_rcp85_95.0_2100_RL1,VAL_rcp85_95.0_2200_RL1,PCT_rcp85_95.0_2200_RL1,VAL_rcp85_99.0_2050_RL1,PCT_rcp85_99.0_2050_RL1,VAL_rcp85_99.0_2100_RL1,PCT_rcp85_99.0_2100_RL1,VAL_rcp85_99.0_2200_RL1,PCT_rcp85_99.0_2200_RL1
WA_County_53009,Clallam ,Population,71391,450,0.6,530,0.7,598,0.8,504,0.7,717,1,1109,1.6,591,0.8,955,1.3,1843,2.6,640,0.9,1133,1.6,2561,3.6
NJ_County_34039,Union ,Population,536499,214,0,311,0.1,3081,0.6,294,0.1,1614,0.3,10651,2,608,0.1,6531,1.2,28411,5.3,735,0.1,9264,1.7,64595,12
MD_County_24015,Cecil ,Population,101095,296,0.3,423,0.4,855,0.8,376,0.4,679,0.7,1828,1.8,465,0.5,1229,1.2,3924,3.9,517,0.5,1617,1.6,7104,7
ME_County_23015,Lincoln ,Population,34457,142,0.4,179,0.5,282,0.8,179,0.5,270,0.8,501,1.5,213,0.6,400,1.2,1070,3.1,230,0.7,504,1.5,2003,5.8
NC_County_37015,Bertie ,Population,21268,43,0.2,76,0.4,212,1,59,0.3,142,0.7,466,2.2,81,0.4,248,1.2,1062,5,92,0.4,347,1.6,2279,10.7
MD_County_24005,Baltimore ,Population,804986,405,0.1,1203,0.1,6566,0.8,633,0.1,4464,0.6,18429,2.3,1778,0.2,9063,1.1,37663,4.7,2393,0.3,14184,1.8,70774,8.8
CA_County_06075,San Francisco ,Population,805235,41,0,1130,0.1,1781,0.2,45,0,1582,0.2,18081,2.2,1080,0.1,8859,1.1,35511,4.4,1200,0.1,16047,2,52016,6.5
TX_County_48061,Cameron ,Population,406220,382,0.1,785,0.2,3672,0.9,486,0.1,2041,0.5,9526,2.3,666,0.2,4432,1.1,18035,4.4,815,0.2,6415,1.6,65558,16.1
ME_County_23005,Cumberland ,Population,281667,448,0.2,585,0.2,1268,0.5,593,0.2,1177,0.4,4825,1.7,757,0.3,3179,1.1,9867,3.5,882,0.3,4862,1.7,17725,6.3
WA_County_53035,Kitsap ,Population,251115,1046,0.4,1314,0.5,1736,0.7,1144,0.5,1684,0.7,4472,1.8,1287,0.5,2798,1.1,6715,2.7,1377,0.5,4238,1.7,9346,3.7
WA_County_53073,Whatcom ,Population,200170,649,0.3,750,0.4,890,0.4,738,0.4,1096,0.5,2476,1.2,858,0.4,2120,1.1,3634,1.8,945,0.5,2528,1.3,4647,2.3
SC_County_45035,Dorchester ,Population,135409,601,0.4,785,0.6,1287,1,692,0.5,1054,0.8,2384,1.8,785,0.6,1459,1.1,11190,8.3,838,0.6,1966,1.5,30105,22.2
OR_County_41019,Douglas ,Population,107610,92,0.1,104,0.1,957,0.9,99,0.1,985,0.9,1310,1.2,106,0.1,1175,1.1,1753,1.6,113,0.1,1298,1.2,1908,1.8
ME_County_23009,Hancock ,Population,54418,153,0.3,202,0.4,392,0.7,201,0.4,366,0.7,760,1.4,263,0.5,592,1.1,1696,3.1,294,0.5,761,1.4,3239,6
NC_County_37091,Hertford ,Population,24669,123,0.5,152,0.6,248,1,137,0.6,201,0.8,369,1.5,155,0.6,272,1.1,705,2.9,163,0.7,324,1.3,1406,5.7
